Datetime,Sentiment,Category,Score
2020-09-22 02:08:51,positive,tennis,75
2020-07-05 05:50:42,negative,tennis,5
2021-01-11 06:02:02,positive,tennis,60
2021-02-28 07:51:53,positive,tennis,70
2020-12-06 13:45:28,positive,tennis,45
2021-05-05 09:54:26,neutral,tennis,35
2020-08-27 18:36:22,positive,tennis,30
2020-10-15 01:29:34,positive,tennis,60
2021-01-15 11:33:42,neutral,tennis,35
2021-03-01 20:26:23,positive,tennis,45
2020-11-28 02:11:34,neutral,tennis,35
2020-12-30 13:37:07,positive,tennis,70
2021-02-14 21:15:34,positive,tennis,75
2021-03-27 20:07:46,positive,tennis,70
2020-08-23 07:38:36,negative,tennis,10
2020-11-09 08:23:03,positive,tennis,60
2021-05-12 20:45:29,negative,tennis,5
2021-04-15 13:23:20,negative,tennis,5
2020-08-16 22:58:59,neutral,tennis,35
2020-09-11 16:22:49,negative,tennis,0
2020-12-13 15:59:17,positive,tennis,70
2020-12-03 08:08:06,negative,tennis,10
2020-10-13 16:31:34,negative,tennis,0
2020-12-04 10:04:19,positive,tennis,70
2021-01-25 11:00:32,neutral,tennis,35
2021-05-04 19:40:16,negative,tennis,5
2020-07-23 19:31:31,negative,tennis,0
2021-01-06 06:08:01,positive,food,65
2020-10-21 03:48:31,negative,food,12
2021-02-23 22:36:09,negative,food,12
2021-01-26 01:00:43,positive,food,75
2020-12-18 14:07:00,neutral,food,35
2021-05-23 23:27:54,neutral,food,20
2020-10-31 03:17:05,negative,food,12
2021-02-20 20:02:26,neutral,food,20
2020-10-28 13:14:29,positive,food,75
2020-12-08 13:12:56,negative,food,0
2020-11-04 21:06:52,negative,food,15
2020-08-24 13:48:29,negative,food,15
2021-01-05 13:15:46,negative,food,0
2021-02-28 09:21:36,positive,food,72
2020-09-22 04:09:35,negative,food,10
2020-11-08 02:43:54,negative,food,0
2020-10-26 11:48:40,positive,food,65
2020-11-04 14:58:21,positive,food,60
2021-03-07 06:31:09,neutral,food,35
2021-06-17 23:27:43,positive,food,45
2020-07-27 23:54:47,positive,food,45
2021-04-19 01:45:56,negative,food,0
2020-10-05 13:55:20,positive,food,50
2020-09-28 08:49:01,positive,food,75
2021-02-25 04:02:48,negative,food,10
2020-12-24 22:31:22,positive,food,60
2021-06-15 12:15:12,positive,food,60
2021-02-12 04:23:19,positive,food,45
2020-08-31 00:39:35,positive,food,72
2021-01-11 08:47:58,neutral,food,20
2020-08-02 20:28:34,positive,food,75
2020-10-18 12:49:22,negative,food,0
2021-03-28 08:08:25,neutral,food,35
2021-02-11 04:02:30,positive,food,75
2020-08-12 23:43:02,positive,food,60
2021-01-07 02:48:35,negative,food,15
2021-02-19 00:55:24,negative,food,15
2021-06-08 10:45:12,positive,food,75
2020-10-18 04:17:57,positive,food,50
2020-11-05 13:54:53,positive,food,75
2020-08-16 12:12:47,positive,food,45
2020-10-14 14:55:56,negative,food,15
2021-04-01 12:04:53,neutral,food,35
2020-09-25 06:17:26,positive,food,50
2021-03-03 18:40:34,positive,travel,45
2020-07-26 19:34:55,positive,soccer,72
2020-12-12 15:31:52,positive,soccer,30
2020-08-21 15:22:44,positive,soccer,70
2021-05-31 20:37:12,neutral,soccer,20
2021-02-14 06:00:42,neutral,soccer,20
2021-02-15 20:35:25,negative,soccer,0
2020-09-08 14:01:57,negative,public speaking,5
2020-10-28 07:37:33,negative,public speaking,12
2020-11-21 19:53:48,positive,public speaking,30
2020-10-16 22:41:35,negative,public speaking,15
2021-01-08 12:46:55,negative,public speaking,5
2020-09-07 06:55:04,positive,public speaking,70
2021-01-26 16:14:57,negative,public speaking,5
2020-09-15 22:47:26,negative,public speaking,12
2020-11-09 00:34:16,positive,public speaking,65
2021-02-01 04:49:33,neutral,public speaking,20
2021-04-14 18:36:31,positive,public speaking,70
2021-01-12 11:57:12,positive,public speaking,65
2020-11-02 22:53:01,negative,public speaking,10
2021-03-08 00:05:02,positive,public speaking,60
2020-09-14 05:11:58,positive,public speaking,70
2020-07-28 09:50:53,negative,public speaking,10
2020-06-30 01:25:28,positive,public speaking,70
2021-01-26 19:53:46,positive,public speaking,72
2021-05-19 16:20:37,positive,public speaking,72
2021-03-11 23:55:36,positive,public speaking,70
2020-10-17 22:39:24,positive,public speaking,70
2021-04-12 17:12:48,positive,public speaking,72
2020-11-25 01:57:44,negative,public speaking,5
2021-06-09 09:41:37,negative,public speaking,0
2021-05-20 17:51:52,neutral,public speaking,35
2020-09-30 18:09:27,negative,public speaking,5
2020-10-07 16:03:38,positive,public speaking,75
2021-01-11 16:13:14,negative,public speaking,15
2020-12-26 06:13:28,negative,public speaking,0
2021-06-15 17:31:50,negative,public speaking,0
2021-05-21 09:25:49,negative,public speaking,15
2020-11-14 15:11:03,positive,public speaking,45
2021-05-05 15:38:53,positive,public speaking,75
2020-08-17 10:08:59,positive,public speaking,30
2020-12-31 05:53:41,positive,public speaking,45
2020-11-21 03:14:44,negative,food,0
2020-10-05 18:00:47,negative,food,5
2021-05-28 15:20:37,positive,food,70
2021-01-12 12:14:41,negative,food,5
2021-02-20 00:07:04,negative,food,15
2020-07-14 21:01:13,positive,food,45
2021-06-05 10:04:02,negative,food,12
2021-03-23 01:55:33,positive,food,70
2021-05-18 09:52:53,positive,food,70
2021-06-04 16:57:48,positive,food,50
2021-01-01 11:23:50,negative,food,0
2021-05-29 04:16:37,negative,food,10
2020-07-18 10:43:22,positive,food,30
2020-11-07 01:54:43,positive,food,72
2020-08-11 12:01:55,positive,food,50
2020-07-24 18:23:18,negative,food,10
2020-10-08 08:38:12,negative,food,15
2021-02-05 13:05:01,neutral,food,20
2020-07-26 10:36:35,positive,food,30
2021-05-19 04:30:38,positive,food,50
2020-11-15 22:53:12,positive,food,75
2021-02-04 13:45:52,negative,food,12
2020-08-01 23:38:51,positive,food,45
2020-09-22 17:07:18,positive,food,75
2021-05-21 12:47:49,positive,tennis,72
2021-02-25 12:05:38,neutral,tennis,35
2021-04-10 09:41:43,negative,tennis,0
2021-04-06 19:56:38,negative,tennis,12
2021-04-05 16:42:13,negative,tennis,12
2020-12-14 12:53:01,negative,tennis,0
2021-03-06 10:03:19,positive,tennis,60
2020-10-12 01:42:57,negative,tennis,5
2020-11-14 10:25:46,positive,tennis,50
2021-02-13 13:45:04,negative,tennis,5
2021-05-08 11:21:04,positive,tennis,65
2020-11-20 19:09:52,negative,tennis,15
2020-07-18 03:52:55,positive,tennis,70
2020-08-27 15:23:50,positive,tennis,65
2020-09-29 02:49:19,negative,tennis,10
2020-08-17 14:29:47,positive,tennis,50
2020-08-16 17:45:53,positive,tennis,70
2020-07-06 00:08:33,positive,tennis,50
2021-05-16 13:24:49,negative,tennis,15
2021-05-20 22:09:11,positive,tennis,65
2021-02-11 08:54:18,negative,tennis,5
2020-08-03 17:58:38,positive,tennis,45
2020-09-18 16:29:26,positive,tennis,70
2021-03-27 08:58:02,negative,tennis,5
2020-07-13 21:02:55,negative,tennis,10
2021-01-19 03:07:21,positive,tennis,75
2021-04-30 06:11:44,positive,tennis,70
2021-02-03 18:41:02,neutral,tennis,20
2020-10-06 10:20:38,negative,tennis,0
2020-11-07 17:59:44,positive,tennis,30
2020-12-22 01:07:31,negative,tennis,10
2021-03-20 14:45:28,neutral,tennis,20
2020-08-14 09:02:52,positive,tennis,45
2020-09-20 19:55:10,positive,tennis,45
2020-12-20 16:12:43,negative,tennis,15
2021-05-08 18:54:26,positive,tennis,72
2020-08-27 15:08:16,negative,tennis,0
2021-05-23 04:59:48,positive,tennis,70
2020-11-27 02:50:41,positive,tennis,65
2021-04-16 11:15:42,positive,tennis,75
2021-05-29 04:12:17,negative,tennis,5
2020-08-02 18:35:15,positive,soccer,75
2021-04-14 13:48:08,negative,soccer,5
2020-12-12 23:02:32,negative,soccer,0
2020-08-24 09:55:33,neutral,soccer,20
2020-10-07 09:31:12,positive,soccer,50
2021-03-11 14:45:36,positive,soccer,50
2021-03-30 23:01:37,negative,soccer,0
2021-01-03 04:02:41,neutral,soccer,35
2021-05-30 09:31:36,neutral,soccer,35
2021-04-13 13:42:44,neutral,soccer,20
2021-03-13 16:37:19,neutral,soccer,20
2020-09-07 11:48:34,positive,soccer,72
2021-02-06 13:18:49,positive,soccer,30
2021-05-18 09:28:59,negative,soccer,15
2021-04-25 09:44:47,positive,soccer,75
2021-02-28 16:15:40,negative,soccer,10
2020-10-22 03:40:50,negative,soccer,0
2021-05-24 22:19:33,neutral,soccer,35
2020-11-16 06:37:18,positive,soccer,30
2020-10-25 11:15:56,negative,soccer,10
2021-04-18 11:43:35,positive,soccer,30
2021-06-03 19:13:16,neutral,soccer,20
2020-10-26 12:50:41,positive,soccer,65
2020-09-08 07:08:54,neutral,soccer,20
2020-12-02 08:56:41,negative,soccer,10
2020-11-18 08:02:57,positive,soccer,72
2021-05-25 14:14:10,positive,soccer,72
2021-01-30 14:21:19,neutral,soccer,35
2020-07-23 02:21:30,neutral,soccer,35
2020-12-06 14:59:17,positive,soccer,70
2021-06-13 03:27:52,positive,soccer,70
2021-01-23 02:20:47,positive,soccer,45
2020-07-14 08:11:17,positive,soccer,45
2021-04-23 22:20:34,positive,soccer,60
2020-08-22 23:58:52,positive,education,30
2021-04-03 23:11:42,positive,education,50
2021-04-14 19:59:00,positive,education,70
2021-04-15 17:03:31,positive,education,72
2021-05-23 16:22:41,positive,education,70
2020-10-03 13:46:59,negative,education,10
2020-08-09 07:58:07,positive,education,50
2020-12-16 01:34:11,positive,education,70
2021-04-28 09:23:52,positive,education,75
2021-03-12 00:42:10,positive,education,70
2021-03-31 00:16:59,negative,education,0
2021-06-16 00:13:43,positive,education,65
2021-06-03 12:45:43,positive,education,50
2021-04-19 05:11:15,negative,education,10
2021-03-25 22:25:36,positive,education,60
2020-12-04 16:38:03,neutral,education,20
2020-12-17 06:49:58,positive,education,30
2020-07-22 17:01:44,positive,education,30
2020-09-11 19:13:59,positive,studying,70
2021-04-30 09:22:59,positive,studying,75
2020-12-13 15:10:55,negative,studying,15
2021-03-28 17:20:37,positive,studying,65
2021-03-23 13:28:05,negative,studying,5
2020-08-01 02:18:16,positive,studying,70
2021-05-02 01:43:50,positive,studying,72
2021-06-09 12:33:19,positive,studying,65
2020-08-27 06:31:16,negative,studying,10
2020-07-06 18:54:41,positive,studying,72
2021-01-22 15:32:24,negative,studying,5
2021-05-24 05:36:16,negative,studying,5
2021-06-11 09:36:31,positive,studying,70
2021-04-27 15:45:40,positive,studying,50
2021-03-06 20:42:32,positive,studying,65
2020-11-17 12:11:43,positive,studying,60
2021-05-30 19:32:32,neutral,studying,20
2021-01-17 06:34:40,negative,studying,12
2020-09-06 02:58:51,neutral,studying,35
2020-12-04 07:19:01,positive,studying,65
2020-07-12 18:21:00,negative,studying,12
2021-01-09 09:06:19,neutral,studying,20
2021-06-14 04:29:22,positive,studying,45
2021-04-05 13:43:23,positive,studying,60
2020-09-10 03:38:50,positive,studying,65
2021-03-17 08:39:13,negative,studying,15
2020-12-18 00:13:22,negative,studying,15
2021-01-08 14:35:34,positive,studying,50
2020-10-11 09:52:00,negative,studying,15
2021-02-01 06:48:53,positive,studying,60
2020-12-07 00:39:27,negative,studying,0
2020-08-09 19:37:31,positive,studying,50
2021-02-23 18:03:03,negative,studying,12
2021-06-02 06:53:55,negative,studying,15
2021-01-08 19:20:26,positive,studying,60
2020-12-03 07:55:49,positive,studying,50
2020-07-06 19:29:39,negative,studying,0
2020-11-11 14:07:42,positive,studying,70
2021-04-10 21:27:10,positive,studying,45
2021-02-25 17:26:27,neutral,studying,20
2020-11-30 17:57:54,neutral,studying,35
2020-11-25 19:16:05,negative,studying,5
2021-06-08 23:06:08,positive,studying,72
2020-12-27 17:21:20,positive,travel,75
2021-05-21 11:57:48,negative,travel,12
2021-02-24 18:34:14,positive,travel,60
2021-06-14 17:44:08,positive,travel,50
2020-10-20 15:14:45,positive,travel,60
2020-12-09 20:38:52,positive,travel,70
2021-02-01 11:27:07,neutral,travel,20
2020-12-06 06:38:03,positive,travel,65
2020-08-28 15:56:32,neutral,travel,35
2020-12-06 22:28:47,neutral,travel,35
2020-12-14 10:46:25,positive,travel,65
2020-09-11 20:55:52,negative,travel,0
2020-07-26 11:28:58,negative,travel,0
2020-09-27 17:24:03,positive,travel,72
2020-11-04 17:10:19,positive,travel,70
2020-12-18 06:02:22,positive,travel,75
2020-12-20 05:16:22,positive,travel,45
2021-04-03 17:52:18,positive,travel,72
2021-04-19 01:27:06,positive,travel,65
2021-01-20 08:55:58,positive,dogs,70
2021-04-23 18:00:40,positive,dogs,70
2020-12-21 21:36:56,positive,dogs,60
2021-05-07 18:00:27,positive,dogs,50
2021-05-23 04:00:30,negative,dogs,15
2021-05-31 22:21:50,positive,dogs,75
2021-05-05 04:57:00,negative,dogs,5
2021-05-11 03:04:50,negative,dogs,0
2021-03-12 12:19:22,positive,dogs,60
2021-04-14 15:46:03,positive,dogs,72
2021-03-19 04:10:41,neutral,dogs,20
2020-08-17 11:18:32,positive,dogs,30
2020-12-10 08:38:11,negative,dogs,12
2021-04-03 09:24:27,positive,science,30
2021-03-19 19:32:51,negative,science,12
2021-05-18 07:58:39,positive,science,65
2021-03-14 07:11:05,positive,science,70
2020-07-02 11:39:05,positive,science,72
2020-09-19 15:11:05,positive,science,30
2021-04-05 19:34:52,positive,science,65
2021-05-27 20:53:16,positive,science,65
2021-01-09 20:40:41,positive,science,45
2020-09-07 01:45:11,positive,science,50
2020-11-23 05:19:59,positive,science,65
2021-05-13 03:52:42,positive,science,72
2021-03-01 20:21:44,positive,science,30
2020-08-17 16:53:20,positive,science,70
2020-06-30 10:29:53,neutral,science,20
2021-04-30 02:55:56,neutral,science,20
2020-08-09 10:14:34,neutral,science,20
2021-01-31 14:19:15,negative,science,15
2021-02-21 17:06:48,negative,science,5
2020-10-19 18:27:44,positive,science,30
2021-06-18 01:10:19,neutral,science,35
2020-09-03 13:24:42,positive,science,50
2021-03-09 12:10:20,positive,science,60
2020-06-23 21:54:31,neutral,science,35
2021-03-18 13:28:26,neutral,science,35
2020-09-06 17:27:49,positive,science,60
2021-04-28 07:00:56,negative,science,0
2021-03-04 21:16:10,neutral,science,35
2020-10-12 05:59:18,positive,science,65
2021-05-07 04:02:28,positive,science,65
2020-07-20 04:52:58,positive,science,60
2021-04-29 09:59:11,positive,science,72
2021-04-29 06:42:43,negative,science,5
2021-02-13 18:54:30,negative,science,10
2020-08-23 13:12:57,neutral,science,20
2020-10-09 19:16:29,positive,science,70
2020-11-17 18:45:49,negative,science,12
2021-04-18 00:54:17,negative,science,12
2021-01-14 09:05:20,positive,science,72
2021-05-14 17:54:59,positive,science,45
2020-08-24 14:46:59,negative,science,5
2021-02-14 18:33:57,negative,science,5
2021-02-23 01:14:52,positive,veganism,72
2020-07-21 09:23:56,negative,veganism,0
2021-01-17 23:46:12,positive,veganism,45
2021-05-19 10:39:28,negative,veganism,5
2020-10-29 13:22:13,negative,veganism,12
2020-07-20 16:35:56,negative,veganism,10
2021-03-14 19:23:30,positive,veganism,45
2020-07-29 21:13:33,neutral,veganism,35
2021-01-09 11:20:59,negative,veganism,12
2020-12-07 11:41:18,negative,veganism,15
2021-05-10 11:45:19,neutral,veganism,35
2021-02-04 11:26:59,positive,veganism,30
2020-09-30 18:21:57,positive,veganism,60
2021-02-02 09:22:45,negative,veganism,12
2021-05-03 18:01:33,positive,veganism,70
2021-05-10 19:45:36,positive,veganism,50
2020-10-07 13:22:10,positive,veganism,75
2020-10-25 17:21:51,neutral,veganism,20
2021-01-03 20:01:37,negative,veganism,5
2021-04-29 04:36:12,positive,veganism,50
2021-05-07 14:55:36,positive,veganism,60
2021-02-09 08:21:19,positive,veganism,45
2021-01-02 02:38:58,positive,veganism,65
2020-08-02 11:25:11,positive,veganism,65
2021-01-11 10:46:58,positive,veganism,60
2020-11-26 18:31:55,positive,veganism,72
2020-11-14 16:47:08,positive,veganism,50
2020-09-28 03:59:57,negative,veganism,12
2021-04-12 15:08:42,neutral,veganism,35
2020-06-21 14:10:42,negative,veganism,0
2021-02-11 00:21:08,neutral,veganism,20
2021-01-12 21:32:13,negative,veganism,10
2021-04-18 18:04:00,positive,veganism,65
2021-03-29 21:05:59,positive,veganism,70
2020-08-27 23:25:41,positive,veganism,75
2021-03-14 05:20:15,positive,veganism,30
2020-06-28 07:53:22,positive,healthy eating,70
2020-12-09 23:38:09,positive,healthy eating,72
2021-03-27 05:17:06,negative,healthy eating,5
2021-04-17 18:59:39,positive,healthy eating,75
2020-07-05 19:22:31,positive,healthy eating,72
2021-05-08 07:39:21,negative,healthy eating,10
2020-10-02 00:45:49,positive,healthy eating,50
2021-01-04 04:40:07,positive,healthy eating,30
2021-06-06 18:49:29,positive,healthy eating,45
2020-10-02 01:50:11,positive,healthy eating,75
2020-11-02 14:43:06,positive,healthy eating,70
2020-12-10 08:47:34,negative,healthy eating,12
2021-04-15 04:37:46,positive,healthy eating,70
2020-12-13 00:43:22,negative,healthy eating,5
2020-06-21 13:09:27,positive,healthy eating,75
2020-08-18 11:34:22,negative,healthy eating,15
2021-03-19 21:35:58,positive,healthy eating,72
2021-03-08 02:51:24,negative,healthy eating,0
2021-02-20 05:52:29,positive,healthy eating,70
2020-12-22 11:15:01,neutral,healthy eating,35
2021-03-25 13:06:59,positive,healthy eating,75
2020-08-26 19:10:51,neutral,healthy eating,20
2020-12-07 06:14:06,negative,healthy eating,12
2021-04-02 19:50:55,positive,healthy eating,72
2021-04-23 11:45:31,negative,healthy eating,10
2020-12-23 18:50:35,negative,healthy eating,12
2020-10-18 05:43:21,positive,dogs,60
2020-12-22 19:44:47,negative,dogs,0
2020-12-07 07:22:43,neutral,dogs,35
2020-09-12 15:36:58,negative,dogs,10
2021-06-08 21:29:08,negative,dogs,15
2021-04-17 17:26:33,negative,dogs,5
2021-01-30 20:09:06,positive,dogs,30
2020-11-27 20:16:29,positive,dogs,70
2021-01-27 05:51:54,positive,dogs,65
2020-06-30 22:30:50,neutral,dogs,20
2020-11-25 02:16:27,positive,dogs,70
2021-01-30 03:07:13,positive,dogs,60
2020-09-17 09:32:00,positive,dogs,60
2021-02-15 09:38:39,positive,dogs,75
2020-09-21 12:23:17,positive,dogs,72
2021-06-07 03:26:27,negative,dogs,12
2020-08-17 08:57:55,negative,dogs,5
2020-12-20 05:07:35,negative,dogs,5
2020-11-16 16:06:27,positive,dogs,50
2020-07-08 10:18:43,negative,dogs,0
2020-11-06 15:34:37,positive,dogs,50
2021-05-23 16:37:10,neutral,dogs,20
2020-10-07 09:16:32,negative,dogs,15
2020-09-01 22:33:03,positive,dogs,70
2021-03-17 16:26:07,positive,dogs,60
2020-06-24 21:45:00,positive,dogs,72
2020-07-20 09:08:42,positive,dogs,70
